cid,pid,target.X,target.Y,target.Z
23,8,1,1.49,3.5
24,8,0,2.49,1.5
25,8,-1,0.49,3.5
26,8,0,0.49,2.5
27,8,0,0.49,1.5
28,8,0,1.49,2.5
29,8,-1,2.49,1.5
30,8,0,2.49,2.5
31,8,-1,2.49,3.5
32,8,1,0.49,1.5
33,8,0,0.49,3.5
34,8,1,2.49,1.5
35,8,0,2.49,2.5
36,8,1,2.49,3.5
37,8,1,1.49,3.5
38,8,0,0.49,3.5
39,8,1,1.49,2.5
40,8,1,1.49,2.5
41,8,-1,0.49,2.5
42,8,1,2.49,1.5
43,8,-1,1.49,2.5
44,8,0,0.49,3.5
45,8,0,0.49,2.5
46,8,1,2.49,1.5
47,8,-1,1.49,1.5
48,8,1,2.49,2.5
49,8,-1,2.49,2.5
50,8,-1,2.49,3.5
51,8,0,2.49,1.5
52,8,0,0.49,1.5
53,8,-1,2.49,2.5
54,8,0,0.49,2.5
55,8,1,0.49,1.5
56,8,-1,0.49,1.5
57,8,-1,0.49,3.5
58,8,-1,0.49,3.5
59,8,0,0.49,3.5
60,8,-1,1.49,1.5
61,8,0,0.49,1.5
62,8,-1,1.49,2.5
63,8,-1,0.49,1.5
64,8,0,2.49,3.5
65,8,-1,2.49,3.5
66,8,-1,1.49,1.5
67,8,-1,2.49,2.5
68,8,0,1.49,2.5
69,8,1,1.49,2.5
70,8,1,0.49,3.5
71,8,1,0.49,1.5
72,8,0,1.49,1.5
73,8,-1,2.49,1.5
74,8,0,2.49,1.5
75,8,1,2.49,1.5
76,8,-1,1.49,1.5
77,8,-1,0.49,2.5
78,8,-1,0.49,1.5
79,8,0,1.49,1.5
80,8,0,1.49,1.5
81,8,0,1.49,1.5
82,8,-1,0.49,2.5
83,8,1,2.49,2.5
84,8,0,2.49,2.5
85,8,0,1.49,2.5
86,8,-1,1.49,3.5
87,8,1,1.49,3.5
88,8,0,1.49,3.5
89,8,-1,0.49,2.5
90,8,0,0.49,2.5
91,8,1,1.49,3.5
92,8,1,1.49,1.5
93,8,0,2.49,3.5
94,8,1,0.49,1.5
95,8,0,1.49,3.5
96,8,0,1.49,2.5
97,8,0,1.49,3.5
98,8,-1,0.49,3.5
99,8,0,2.49,3.5
100,8,-1,1.49,3.5
101,8,1,2.49,3.5
102,8,0,2.49,2.5
103,8,1,0.49,3.5
104,8,0,0.49,3.5
105,8,-1,0.49,2.5
106,8,-1,1.49,3.5
107,8,-1,1.49,3.5
108,8,1,0.49,2.5
109,8,1,1.49,1.5
110,8,0,2.49,2.5
111,8,0,2.49,1.5
112,8,-1,2.49,2.5
113,8,0,0.49,2.5
114,8,-1,1.49,3.5
115,8,1,1.49,1.5
116,8,1,1.49,2.5
117,8,-1,2.49,2.5
118,8,0,1.49,1.5
119,8,0,1.49,3.5
120,8,-1,0.49,1.5
121,8,1,1.49,2.5
122,8,1,0.49,3.5
123,8,1,2.49,3.5
124,8,-1,2.49,1.5
125,8,1,2.49,3.5
126,8,1,2.49,2.5
127,8,-1,1.49,2.5
128,8,1,1.49,1.5
129,8,0,1.49,3.5
130,8,0,2.49,3.5
131,8,1,0.49,3.5
132,8,-1,2.49,3.5
133,8,1,2.49,3.5
134,8,0,0.49,1.5
0,9,1,2.49,3.5
1,9,1,0.49,1.5
2,9,-1,1.49,1.5
3,9,0,1.49,2.5
4,9,0,2.49,2.5
5,9,1,1.49,3.5
6,9,1,0.49,3.5
7,9,0,2.49,2.5
8,9,-1,1.49,3.5
9,9,0,1.49,2.5
10,9,1,1.49,1.5
11,9,-1,2.49,1.5
12,9,-1,2.49,1.5
13,9,1,0.49,3.5
14,9,-1,1.49,2.5
15,9,0,2.49,2.5
16,9,0,2.49,3.5
17,9,0,0.49,1.5
18,9,0,2.49,1.5
19,9,0,1.49,3.5
20,9,1,2.49,1.5
21,9,1,2.49,2.5
22,9,1,0.49,1.5
23,9,1,1.49,1.5
24,9,0,1.49,3.5
25,9,1,0.49,3.5
26,9,0,1.49,3.5
27,9,0,0.49,3.5
28,9,0,2.49,2.5
29,9,0,1.49,2.5
30,9,0,0.49,3.5
31,9,0,2.49,3.5
32,9,1,2.49,3.5
33,9,0,0.49,2.5
34,9,0,0.49,3.5
35,9,-1,0.49,2.5
36,9,-1,0.49,1.5
37,9,0,1.49,3.5
38,9,0,1.49,2.5
39,9,1,0.49,1.5
40,9,1,2.49,2.5
41,9,-1,2.49,2.5
42,9,-1,1.49,1.5
43,9,1,1.49,1.5
44,9,0,0.49,3.5
45,9,-1,2.49,1.5
46,9,1,1.49,2.5
47,9,1,2.49,2.5
48,9,0,1.49,1.5
49,9,-1,2.49,3.5
50,9,1,1.49,3.5
51,9,1,2.49,1.5
52,9,1,2.49,2.5
53,9,0,2.49,1.5
54,9,-1,0.49,1.5
55,9,1,2.49,1.5
56,9,1,1.49,1.5
57,9,1,2.49,3.5
58,9,0,2.49,1.5
59,9,-1,2.49,1.5
60,9,-1,0.49,2.5
61,9,-1,1.49,3.5
62,9,-1,2.49,2.5
63,9,-1,0.49,2.5
64,9,-1,1.49,2.5
65,9,1,0.49,2.5
66,9,-1,2.49,3.5
67,9,1,2.49,1.5
68,9,-1,1.49,2.5
69,9,1,2.49,1.5
70,9,-1,0.49,3.5
71,9,0,0.49,3.5
72,9,0,1.49,2.5
73,9,-1,0.49,2.5
74,9,-1,0.49,2.5
75,9,0,2.49,3.5
76,9,-1,1.49,1.5
77,9,-1,0.49,3.5
78,9,-1,2.49,1.5
79,9,-1,1.49,3.5
80,9,1,1.49,2.5
81,9,-1,0.49,3.5
82,9,0,0.49,2.5
83,9,1,0.49,1.5
84,9,-1,0.49,3.5
85,9,0,2.49,2.5
86,9,0,0.49,2.5
87,9,1,1.49,3.5
88,9,-1,2.49,3.5
89,9,-1,0.49,1.5
90,9,0,0.49,1.5
91,9,0,0.49,1.5
92,9,-1,0.49,1.5
93,9,-1,1.49,3.5
94,9,1,0.49,3.5
95,9,1,1.49,2.5
96,9,1,1.49,2.5
97,9,-1,2.49,2.5
98,9,1,0.49,2.5
99,9,1,0.49,2.5
100,9,1,0.49,2.5
101,9,0,2.49,3.5
102,9,-1,2.49,3.5
103,9,-1,1.49,1.5
104,9,-1,1.49,2.5
105,9,0,1.49,1.5
106,9,-1,1.49,1.5
107,9,-1,1.49,2.5
108,9,-1,2.49,2.5
109,9,1,0.49,3.5
110,9,1,2.49,2.5
111,9,0,0.49,1.5
112,9,0,1.49,1.5
113,9,1,2.49,3.5
114,9,-1,0.49,1.5
115,9,0,0.49,2.5
116,9,0,2.49,3.5
117,9,0,0.49,1.5
118,9,1,2.49,3.5
119,9,0,2.49,1.5
120,9,1,1.49,3.5
121,9,1,0.49,2.5
122,9,0,0.49,2.5
123,9,-1,1.49,3.5
124,9,-1,0.49,3.5
125,9,0,1.49,1.5
126,9,1,1.49,2.5
127,9,-1,2.49,3.5
128,9,1,1.49,3.5
129,9,0,1.49,3.5
130,9,0,2.49,1.5
131,9,-1,2.49,2.5
132,9,1,1.49,1.5
133,9,0,1.49,1.5
134,9,1,0.49,1.5
0,10,-1,2.49,1.5
1,10,0,0.49,3.5
2,10,1,2.49,3.5
3,10,-1,0.49,3.5
4,10,0,2.49,1.5
5,10,1,0.49,3.5
6,10,1,1.49,2.5
7,10,0,2.49,1.5
8,10,1,2.49,2.5
9,10,-1,2.49,3.5
10,10,-1,0.49,2.5
11,10,0,2.49,1.5
12,10,-1,2.49,1.5
13,10,1,1.49,1.5
14,10,0,2.49,2.5
15,10,-1,1.49,2.5
16,10,1,2.49,1.5
17,10,1,2.49,2.5
18,10,-1,2.49,3.5
19,10,0,0.49,3.5
20,10,0,2.49,3.5
21,10,-1,0.49,1.5
22,10,0,1.49,1.5
23,10,0,1.49,3.5
24,10,1,1.49,1.5
25,10,1,2.49,2.5
26,10,-1,0.49,3.5
27,10,0,2.49,2.5
28,10,-1,2.49,3.5
29,10,1,0.49,2.5
30,10,1,0.49,3.5
31,10,-1,1.49,2.5
32,10,0,1.49,2.5
33,10,1,0.49,1.5
34,10,0,0.49,1.5
35,10,1,1.49,1.5
36,10,0,1.49,1.5
37,10,1,2.49,1.5
38,10,-1,0.49,3.5
39,10,0,1.49,3.5
40,10,0,2.49,3.5
41,10,1,0.49,1.5
42,10,-1,0.49,2.5
43,10,-1,2.49,3.5
44,10,0,1.49,2.5
45,10,0,0.49,3.5
46,10,-1,0.49,1.5
47,10,-1,2.49,1.5
48,10,0,0.49,2.5
49,10,-1,2.49,3.5
50,10,0,0.49,2.5
51,10,0,0.49,1.5
52,10,1,0.49,3.5
53,10,1,2.49,3.5
54,10,-1,2.49,2.5
55,10,1,0.49,2.5
56,10,-1,1.49,1.5
57,10,-1,1.49,2.5
58,10,-1,1.49,1.5
59,10,1,2.49,1.5
60,10,1,2.49,3.5
61,10,0,1.49,2.5
62,10,0,0.49,1.5
63,10,1,1.49,2.5
64,10,-1,0.49,2.5
65,10,1,1.49,3.5
66,10,-1,1.49,2.5
67,10,-1,1.49,3.5
68,10,0,0.49,1.5
69,10,-1,2.49,2.5
70,10,-1,0.49,2.5
71,10,-1,2.49,2.5
72,10,0,1.49,2.5
73,10,1,0.49,1.5
74,10,-1,2.49,1.5
75,10,0,1.49,3.5
76,10,0,2.49,3.5
77,10,-1,1.49,2.5
78,10,1,1.49,2.5
79,10,0,2.49,1.5
80,10,0,2.49,3.5
81,10,-1,0.49,2.5
82,10,0,2.49,2.5
83,10,1,0.49,2.5
84,10,-1,1.49,1.5
85,10,1,2.49,2.5
86,10,1,2.49,1.5
87,10,0,1.49,1.5
88,10,-1,2.49,2.5
89,10,-1,1.49,1.5
90,10,1,0.49,1.5
91,10,0,2.49,1.5
92,10,0,0.49,2.5
93,10,0,2.49,2.5
94,10,0,1.49,3.5
95,10,-1,1.49,1.5
96,10,0,0.49,3.5
97,10,1,2.49,3.5
98,10,1,1.49,3.5
99,10,1,0.49,3.5
100,10,0,0.49,1.5
101,10,-1,0.49,1.5
102,10,1,1.49,3.5
103,10,1,1.49,3.5
104,10,0,0.49,3.5
105,10,1,1.49,1.5
106,10,1,2.49,1.5
107,10,1,2.49,3.5
108,10,1,1.49,2.5
109,10,-1,1.49,3.5
110,10,-1,2.49,2.5
111,10,1,0.49,1.5
112,10,1,0.49,2.5
113,10,1,0.49,3.5
114,10,0,1.49,1.5
115,10,0,0.49,2.5
116,10,0,2.49,3.5
117,10,-1,0.49,1.5
118,10,-1,0.49,1.5
119,10,0,0.49,2.5
120,10,-1,0.49,3.5
121,10,-1,1.49,3.5
122,10,1,2.49,2.5
123,10,0,2.49,2.5
124,10,-1,2.49,1.5
125,10,0,1.49,2.5
126,10,-1,1.49,3.5
127,10,1,0.49,2.5
128,10,1,1.49,2.5
129,10,1,1.49,1.5
130,10,1,1.49,3.5
131,10,0,1.49,1.5
132,10,0,1.49,3.5
133,10,-1,1.49,3.5
134,10,-1,0.49,3.5
0,11,0,0.49,3.5
1,11,1,2.49,3.5
2,11,1,2.49,2.5
3,11,-1,2.49,3.5
4,11,1,1.49,2.5
5,11,1,2.49,3.5
6,11,0,2.49,3.5
7,11,-1,0.49,2.5
8,11,0,0.49,2.5
9,11,0,0.49,2.5
10,11,-1,1.49,3.5
11,11,-1,2.49,3.5
12,11,1,0.49,2.5
13,11,-1,1.49,1.5
14,11,1,1.49,2.5
15,11,-1,0.49,2.5
16,11,0,1.49,1.5
17,11,-1,2.49,2.5
18,11,1,2.49,1.5
19,11,-1,0.49,3.5
20,11,0,2.49,3.5
21,11,-1,1.49,3.5
22,11,-1,0.49,3.5
23,11,0,2.49,1.5
24,11,0,1.49,3.5
25,11,-1,0.49,3.5
26,11,-1,1.49,3.5
27,11,-1,1.49,2.5
28,11,-1,1.49,3.5
29,11,1,0.49,3.5
30,11,1,0.49,1.5
31,11,-1,2.49,2.5
32,11,-1,2.49,1.5
33,11,1,0.49,3.5
34,11,-1,2.49,2.5
35,11,0,1.49,1.5
36,11,1,0.49,1.5
37,11,-1,2.49,3.5
38,11,0,1.49,2.5
39,11,0,2.49,1.5
40,11,0,2.49,2.5
41,11,-1,1.49,2.5
42,11,0,2.49,1.5
43,11,1,2.49,1.5
44,11,0,2.49,3.5
45,11,-1,1.49,2.5
46,11,1,1.49,2.5
47,11,0,0.49,3.5
48,11,-1,0.49,3.5
49,11,1,1.49,3.5
50,11,-1,1.49,2.5
51,11,0,0.49,1.5
52,11,-1,1.49,1.5
53,11,0,0.49,1.5
54,11,1,1.49,1.5
55,11,0,2.49,3.5
56,11,0,1.49,3.5
57,11,1,0.49,2.5
58,11,1,0.49,1.5
59,11,-1,0.49,1.5
60,11,0,1.49,2.5
61,11,0,1.49,3.5
62,11,-1,2.49,1.5
63,11,0,1.49,2.5
64,11,-1,0.49,1.5
65,11,-1,0.49,3.5
66,11,0,1.49,1.5
67,11,0,2.49,1.5
68,11,-1,1.49,1.5
69,11,-1,2.49,2.5
70,11,-1,1.49,1.5
71,11,0,0.49,1.5
72,11,1,0.49,1.5
73,11,1,2.49,2.5
74,11,0,2.49,3.5
75,11,0,2.49,2.5
76,11,-1,0.49,1.5
77,11,1,2.49,1.5
78,11,1,2.49,2.5
79,11,0,1.49,1.5
80,11,1,0.49,2.5
81,11,1,1.49,1.5
82,11,1,1.49,2.5
83,11,-1,0.49,2.5
84,11,0,0.49,2.5
85,11,-1,2.49,1.5
86,11,-1,1.49,2.5
87,11,-1,2.49,1.5
88,11,-1,2.49,1.5
89,11,1,1.49,1.5
90,11,1,2.49,1.5
91,11,0,0.49,2.5
92,11,1,1.49,3.5
93,11,0,0.49,1.5
94,11,1,1.49,2.5
95,11,-1,0.49,1.5
96,11,0,1.49,2.5
97,11,-1,0.49,1.5
98,11,1,0.49,2.5
99,11,1,2.49,2.5
100,11,1,0.49,3.5
101,11,0,0.49,1.5
102,11,1,2.49,3.5
103,11,0,2.49,2.5
104,11,-1,2.49,2.5
105,11,1,1.49,3.5
106,11,0,0.49,3.5
107,11,1,1.49,3.5
108,11,0,2.49,2.5
109,11,0,2.49,1.5
110,11,-1,2.49,3.5
111,11,0,0.49,3.5
112,11,0,0.49,3.5
113,11,-1,1.49,1.5
114,11,1,2.49,3.5
115,11,1,1.49,3.5
116,11,-1,0.49,2.5
117,11,0,1.49,2.5
118,11,-1,0.49,2.5
119,11,0,2.49,2.5
120,11,1,0.49,3.5
121,11,0,1.49,3.5
122,11,1,1.49,1.5
123,11,1,2.49,1.5
124,11,1,0.49,2.5
125,11,0,1.49,1.5
126,11,0,1.49,3.5
127,11,1,1.49,1.5
128,11,1,2.49,3.5
129,11,0,0.49,2.5
130,11,1,2.49,2.5
131,11,-1,2.49,3.5
132,11,1,0.49,3.5
133,11,-1,1.49,3.5
134,11,1,0.49,1.5
0,12,-1,1.49,3.5
1,12,1,1.49,2.5
2,12,1,2.49,1.5
3,12,0,0.49,3.5
4,12,-1,0.49,1.5
5,12,0,2.49,1.5
6,12,0,1.49,1.5
7,12,1,0.49,3.5
8,12,-1,0.49,1.5
9,12,0,2.49,3.5
10,12,-1,1.49,1.5
11,12,0,0.49,1.5
12,12,-1,1.49,1.5
13,12,-1,2.49,2.5
14,12,1,1.49,1.5
15,12,0,2.49,3.5
16,12,1,0.49,1.5
17,12,-1,0.49,1.5
18,12,0,0.49,3.5
19,12,1,1.49,1.5
20,12,1,2.49,2.5
21,12,0,2.49,1.5
22,12,0,1.49,2.5
23,12,1,0.49,2.5
24,12,0,0.49,1.5
25,12,1,2.49,3.5
26,12,1,2.49,3.5
27,12,0,1.49,3.5
28,12,1,1.49,2.5
29,12,0,1.49,3.5
30,12,-1,1.49,2.5
31,12,1,2.49,3.5
32,12,1,0.49,2.5
33,12,0,1.49,2.5
34,12,0,1.49,1.5
35,12,-1,2.49,1.5
36,12,1,0.49,1.5
37,12,0,2.49,2.5
38,12,0,0.49,2.5
39,12,-1,0.49,2.5
40,12,-1,1.49,3.5
41,12,-1,2.49,3.5
42,12,0,1.49,2.5
43,12,-1,2.49,1.5
44,12,0,1.49,1.5
45,12,1,1.49,1.5
46,12,0,2.49,3.5
47,12,-1,2.49,2.5
48,12,-1,2.49,1.5
49,12,-1,0.49,1.5
50,12,-1,0.49,2.5
51,12,1,0.49,3.5
52,12,1,1.49,3.5
53,12,0,1.49,2.5
54,12,0,2.49,1.5
55,12,-1,1.49,2.5
56,12,1,0.49,1.5
57,12,1,0.49,1.5
58,12,1,0.49,3.5
59,12,1,2.49,2.5
60,12,-1,0.49,3.5
61,12,-1,0.49,2.5
62,12,0,0.49,2.5
63,12,-1,0.49,2.5
64,12,-1,2.49,3.5
65,12,-1,1.49,3.5
66,12,1,1.49,3.5
67,12,0,2.49,3.5
68,12,0,1.49,2.5
69,12,-1,2.49,2.5
70,12,0,2.49,2.5
71,12,1,1.49,1.5
72,12,0,2.49,1.5
73,12,1,0.49,3.5
74,12,1,1.49,2.5
75,12,1,2.49,1.5
76,12,1,2.49,1.5
77,12,-1,1.49,1.5
78,12,0,2.49,2.5
79,12,-1,1.49,2.5
80,12,0,0.49,3.5
81,12,1,2.49,2.5
82,12,-1,0.49,3.5
83,12,-1,2.49,1.5
84,12,0,0.49,1.5
85,12,1,2.49,3.5
86,12,1,0.49,2.5
87,12,1,0.49,3.5
88,12,0,1.49,1.5
89,12,-1,2.49,3.5
90,12,1,2.49,1.5
91,12,-1,1.49,2.5
92,12,0,2.49,2.5
93,12,-1,1.49,1.5
94,12,1,1.49,3.5
95,12,0,1.49,3.5
96,12,-1,0.49,2.5
97,12,0,0.49,2.5
98,12,1,1.49,3.5
99,12,0,1.49,3.5
100,12,0,0.49,2.5
101,12,0,0.49,1.5
102,12,0,0.49,2.5
103,12,1,2.49,1.5
104,12,-1,1.49,2.5
105,12,1,2.49,2.5
106,12,0,2.49,2.5
107,12,0,0.49,3.5
108,12,0,0.49,3.5
109,12,1,2.49,3.5
110,12,-1,2.49,2.5
111,12,-1,0.49,3.5
112,12,-1,0.49,3.5
113,12,-1,2.49,1.5
114,12,1,1.49,2.5
115,12,-1,2.49,2.5
116,12,-1,2.49,3.5
117,12,1,1.49,2.5
118,12,1,1.49,3.5
119,12,0,1.49,3.5
120,12,-1,0.49,1.5
121,12,-1,2.49,3.5
122,12,-1,0.49,3.5
123,12,1,0.49,2.5
124,12,1,1.49,1.5
125,12,-1,1.49,1.5
126,12,1,0.49,2.5
127,12,-1,1.49,3.5
128,12,0,2.49,1.5
129,12,1,2.49,2.5
130,12,-1,1.49,3.5
131,12,1,0.49,1.5
132,12,0,1.49,1.5
133,12,0,0.49,1.5
134,12,0,2.49,3.5
0,13,0,0.49,2.5
1,13,1,1.49,1.5
2,13,-1,2.49,2.5
3,13,-1,1.49,2.5
4,13,1,2.49,3.5
5,13,0,1.49,1.5
6,13,1,0.49,3.5
7,13,-1,2.49,2.5
8,13,1,0.49,1.5
9,13,-1,1.49,2.5
10,13,1,1.49,3.5
11,13,-1,0.49,1.5
12,13,1,0.49,3.5
13,13,-1,2.49,1.5
14,13,-1,2.49,3.5
15,13,0,1.49,2.5
16,13,-1,0.49,1.5
17,13,1,1.49,2.5
18,13,-1,1.49,1.5
19,13,-1,0.49,3.5
20,13,0,0.49,1.5
21,13,1,0.49,1.5
22,13,0,0.49,1.5
23,13,0,0.49,2.5
24,13,-1,0.49,3.5
25,13,1,1.49,3.5
26,13,0,0.49,2.5
27,13,1,0.49,2.5
28,13,0,2.49,2.5
29,13,-1,2.49,1.5
30,13,0,0.49,2.5
31,13,0,2.49,1.5
32,13,1,0.49,3.5
33,13,0,1.49,2.5
34,13,1,2.49,3.5
35,13,1,2.49,3.5
36,13,-1,0.49,2.5
37,13,0,1.49,1.5
38,13,-1,0.49,1.5
39,13,0,0.49,1.5
40,13,0,2.49,1.5
41,13,0,1.49,3.5
42,13,0,1.49,2.5
43,13,1,0.49,2.5
44,13,0,2.49,2.5
45,13,1,1.49,1.5
46,13,-1,2.49,3.5
47,13,1,0.49,2.5
48,13,-1,2.49,1.5
49,13,0,2.49,2.5
50,13,-1,1.49,3.5
51,13,-1,1.49,1.5
52,13,0,0.49,3.5
53,13,0,0.49,1.5
54,13,1,0.49,1.5
55,13,-1,2.49,2.5
56,13,-1,1.49,2.5
57,13,0,1.49,1.5
58,13,1,2.49,2.5
59,13,0,1.49,1.5
60,13,1,1.49,2.5
61,13,0,1.49,2.5
62,13,-1,1.49,3.5
63,13,1,2.49,1.5
64,13,-1,1.49,2.5
65,13,0,1.49,3.5
66,13,-1,0.49,2.5
67,13,0,2.49,2.5
68,13,1,2.49,3.5
69,13,1,2.49,1.5
70,13,1,1.49,2.5
71,13,-1,1.49,2.5
72,13,-1,0.49,3.5
73,13,-1,0.49,3.5
74,13,1,1.49,2.5
75,13,0,2.49,1.5
76,13,0,2.49,1.5
77,13,1,1.49,3.5
78,13,1,1.49,2.5
79,13,0,0.49,3.5
80,13,1,0.49,1.5
81,13,1,0.49,3.5
82,13,-1,1.49,3.5
83,13,0,2.49,2.5
84,13,1,0.49,2.5
85,13,1,2.49,2.5
86,13,-1,1.49,1.5
87,13,0,0.49,3.5
88,13,0,0.49,3.5
89,13,1,2.49,2.5
90,13,1,2.49,2.5
91,13,1,1.49,3.5
92,13,1,1.49,1.5
93,13,-1,0.49,2.5
94,13,0,1.49,1.5
95,13,-1,1.49,1.5
96,13,-1,0.49,1.5
97,13,-1,1.49,1.5
98,13,-1,2.49,1.5
99,13,0,2.49,3.5
100,13,1,2.49,1.5
101,13,-1,1.49,3.5
102,13,-1,0.49,1.5
103,13,-1,2.49,2.5
104,13,-1,0.49,2.5
105,13,0,0.49,2.5
106,13,1,0.49,2.5
107,13,1,1.49,1.5
108,13,0,0.49,1.5
109,13,1,1.49,1.5
110,13,1,2.49,2.5
111,13,0,1.49,2.5
112,13,0,0.49,3.5
113,13,0,1.49,3.5
114,13,1,2.49,1.5
115,13,0,2.49,3.5
116,13,0,1.49,3.5
117,13,0,2.49,3.5
118,13,-1,0.49,2.5
119,13,-1,2.49,1.5
120,13,-1,1.49,3.5
121,13,-1,2.49,3.5
122,13,-1,2.49,2.5
123,13,1,1.49,3.5
124,13,1,2.49,1.5
125,13,0,2.49,1.5
126,13,1,2.49,3.5
127,13,1,0.49,1.5
128,13,0,2.49,3.5
129,13,-1,0.49,3.5
130,13,1,0.49,3.5
131,13,-1,2.49,3.5
132,13,0,2.49,3.5
133,13,-1,2.49,3.5
134,13,0,1.49,3.5
