pid,cid,time,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
13,16,1.078900,-0.414462,1.206247,0.517931,-0.264490,1.244644,0.389083,-0.155206,1.279115,0.295647,-0.029983,1.312348,0.158720,0.018226,1.370352,-0.027032,-0.084561,1.587401,-0.013958,-0.128642,1.343828,-0.166502,-0.020379,-0.876660,-0.205326,-0.537279,0.348172,0.351289,-0.221657,0.336288,0.132667,0.269236,-0.299021,-0.336577,0.105330,0.530422,-0.127505,-0.191602,0.194154,-0.071036,0.107449,0.578196,0.125116
13,17,0.966200,0.247016,1.598667,0.635518,0.224943,1.542011,0.442438,0.210964,1.506392,0.295994,0.180336,1.444603,0.117940,0.054939,1.372487,-0.058249,-0.010822,1.614778,-0.008707,-0.147629,1.344893,-0.096131,-0.241297,-0.603044,0.031173,-0.450635,0.709323,0.449811,0.104169,-0.074711,0.069789,-0.122938,0.024183,-0.259302,0.073729,0.145681,-0.141170,-0.080636,-0.202153,-0.024812,0.120193,0.364055,0.090461
13,18,0.999100,-0.420997,1.594150,0.518344,-0.280929,1.537906,0.385091,-0.167224,1.500234,0.292009,-0.039541,1.439411,0.164132,0.015121,1.378017,-0.026761,-0.068776,1.608706,-0.029258,-0.123766,1.344633,-0.168504,-0.241080,-0.870516,-0.110101,-0.589492,0.491850,0.187573,0.059453,0.396945,0.116166,0.020363,-0.409063,-0.296480,0.146327,0.499811,-0.153838,-0.086201,0.197443,-0.038270,0.123126,0.602842,0.123081
13,19,1.188500,-0.245532,1.396857,0.681325,-0.148086,1.391752,0.503878,-0.077051,1.397629,0.371998,0.005231,1.384941,0.199766,0.016402,1.372268,-0.022998,-0.059091,1.606245,-0.010800,-0.141686,1.344508,-0.150217,-0.100218,-0.814216,-0.075663,-0.553135,0.506074,0.393234,-0.068146,0.204143,0.084925,0.083359,-0.251416,-0.303845,0.056345,0.472035,-0.133902,-0.108443,0.040359,-0.035960,0.115450,0.548395,0.123763
13,20,1.010200,-0.020531,1.128770,0.641098,0.027113,1.180569,0.451915,0.066432,1.233436,0.323791,0.105005,1.288965,0.146673,0.059174,1.360259,-0.042625,-0.019039,1.587292,0.008714,-0.130063,1.348320,-0.122568,0.000513,-0.723802,-0.135890,-0.439753,0.482629,0.554162,-0.241320,0.062326,0.126499,0.216624,-0.079856,-0.358352,0.090727,0.343716,-0.098683,-0.205337,-0.045382,-0.032087,0.124657,0.421730,0.123764
13,21,1.092500,0.383298,1.185164,0.562283,0.328350,1.233659,0.372548,0.281705,1.276129,0.239917,0.206705,1.313977,0.071345,0.047809,1.362988,-0.080977,-0.004960,1.593384,-0.011441,-0.162105,1.347982,-0.100596,-0.068657,-0.516763,-0.169630,-0.252174,0.648279,0.617018,-0.143536,-0.225641,0.170798,0.067186,0.195452,-0.360081,0.062663,0.119373,-0.113590,-0.183065,-0.259541,0.004954,0.126912,0.313169,0.099973
13,22,0.912000,-0.030791,1.112283,0.643302,0.010649,1.170578,0.453703,0.046998,1.226827,0.326819,0.080337,1.287354,0.151048,0.033763,1.363010,-0.041970,-0.052478,1.589646,-0.004168,-0.150344,1.345719,-0.139665,0.006360,0.694939,0.190806,-0.415782,0.498108,0.546787,-0.252953,0.053831,0.126581,0.222857,-0.060207,-0.355369,0.094461,0.378734,-0.106206,-0.184871,-0.013277,-0.039973,0.118213,0.470559,0.112851
13,23,0.943700,-0.041877,1.300405,0.707024,0.002068,1.314077,0.508918,0.039181,1.336576,0.369287,0.073963,1.349219,0.183273,0.028486,1.366959,-0.035949,-0.055001,1.602716,-0.010108,-0.150136,1.342048,-0.140359,0.072757,0.717933,0.120137,-0.477894,0.557515,0.484426,-0.117557,0.076219,0.073845,0.105816,-0.104369,-0.297114,0.071225,0.404835,-0.126552,-0.125157,-0.026262,-0.033526,0.112551,0.487969,0.104605
13,24,1.057300,-0.254089,1.403100,0.668533,-0.155552,1.395074,0.491079,-0.076580,1.393499,0.365716,0.007758,1.379179,0.196207,0.021448,1.370366,-0.030500,-0.059740,1.612090,-0.035620,-0.123405,1.341133,-0.173996,0.123948,0.807409,0.132801,-0.528406,0.524758,0.362881,-0.060659,0.234937,0.122195,0.092278,-0.238424,-0.316383,0.087603,0.501186,-0.123730,-0.080460,0.081161,-0.048748,0.111896,0.601217,0.113825
13,25,1.055300,0.170728,1.624710,0.665444,0.168644,1.558829,0.471533,0.162270,1.520171,0.326429,0.141580,1.453570,0.148070,0.035883,1.371948,-0.042878,-0.031521,1.620026,-0.013588,-0.156850,1.343384,-0.120201,0.243327,0.650547,-0.012013,-0.461095,0.729658,0.388544,0.109909,-0.047982,0.107166,-0.131793,-0.027687,-0.278630,0.099240,0.233194,-0.133716,-0.037137,-0.164371,-0.037024,0.118773,0.463782,0.098726
